Nu,MI-DL_raw_pi1,SI-DL_raw_pi1,Known_Ra_raw_pi1,source
34.917013854079826,468.23436707002,467.70911832027963,479.24702095709716,Niemela
38.624571387668794,524.0354738925338,524.1138113686555,534.9652357218516,Niemela
41.502677795467164,566.5068986644563,567.2125651097699,577.0263783237307,Niemela
46.2095793710268,640.9333320891401,639.2710721244877,657.4578150449546,Niemela
50.616676340086435,710.0857001112,709.2034466171158,726.3762699020212,Niemela
55.323580613362324,784.8567089083448,784.6675577690947,801.2164704618639,Niemela
58.71134846240067,840.6648606770596,841.2502899659981,856.5419946430952,Niemela
65.95657910175407,950.9791971647176,946.5629881226308,978.0605321644161,Niemela
70.83336765119414,1030.6179132431487,1029.079127133949,1053.9597256476302,Niemela
72.32238965045329,1053.1570683789469,1049.6056358772066,1080.319346252612,Niemela
78.50831913123137,1159.4042922673664,1156.742053595224,1186.6812587170168,Niemela
83.85479665828045,1247.8242258448213,1246.126425843053,1274.7318680562335,Niemela
93.5084453416,1373.3829263333107,1362.6157941754207,1416.449192888939,Niemela
104.03151537757043,1594.2432275769193,1583.623124820961,1640.2428937105606,Niemela
111.52657609701728,1692.7904819443681,1683.565138903434,1737.2903337651226,Niemela
116.12356118890254,1793.434023267791,1782.6206811936563,1841.436196832082,Niemela
124.41809608030353,1939.8452446998729,1930.0000787075326,1987.8559102807544,Niemela
126.51670747429229,1951.8101984089358,1944.4258346377594,1996.2617683468977,Niemela
132.11302242259293,2071.1965402126916,2062.2697428780825,2119.1183128870503,Niemela
138.90855803761298,2196.636667917081,2188.573016351258,2244.5092684585966,Niemela
146.20373301521093,2260.054098307522,2228.608549086509,2339.728272393861,Niemela
162.39309020778123,2525.426308945454,2493.9174116621643,2606.669154269414,Niemela
174.88484989377687,2781.678229200365,2749.8766684823972,2864.956220124822,Niemela
188.87566856179467,2999.0125628946594,2967.189256495828,3083.54978000548,Niemela
200.56795574984434,3208.4575546124634,3176.9742498193245,3293.450511131764,Niemela
216.457500142061,3422.090812639432,3384.3891076352966,3514.9977011170595,Niemela
228.44961724709324,3628.070016578385,3590.5675524350363,3721.323929783139,Niemela
239.44237019321855,3799.594319684411,3757.651924343551,3898.2402641715444,Niemela
262.62708766214234,4161.520451651226,4106.746904637878,4273.597076358528,Niemela
286.3115163292381,4504.589285080866,4441.895901807391,4625.520107905973,Niemela
288.3102101483612,4555.848051146477,4497.100664162322,4673.3530084441045,Niemela
313.1938296399257,4975.323934854405,4903.783315846321,5105.588871173471,Niemela
336.2786179331162,5167.720537081433,5076.745476234767,5314.458467268636,Niemela
337.9774973550456,5352.800864971214,5249.730097030741,5508.087327540071,Niemela
369.15697246808156,5760.044600671496,5643.27885862291,5926.2902751924275,Niemela
383.74739401673116,6048.751577965399,5930.916684036403,6215.827073328493,Niemela
421.7223806564182,6568.62100430041,6405.607818778231,6769.387044431706,Niemela
439.1108920444945,6820.118863258122,6644.658662919661,7028.6487054795625,Niemela
449.40416493626003,7141.570262801638,6972.5157153704995,7345.0293540589555,Niemela
551.4369707399018,8640.350379498836,8371.516597992073,8906.293103023498,Niemela
590.5111709414896,9196.244721080022,8844.387897794464,9515.464655704878,Niemela
631.7840380524929,9813.728929457926,9454.63541201982,10133.816973161283,Niemela
625.2883921915654,9883.63356966237,9539.007597754691,10198.35413712533,Niemela
645.3751387596005,10116.639042203515,9734.682952402953,10448.728778923854,Niemela
640.2784564802337,10253.241572407751,9901.701846750826,10569.535641044467,Niemela
715.7287666298664,11264.282276062348,10788.204561070812,11649.689273598968,Niemela
753.9036994739334,10272.911405994135,9807.555113564744,10628.913073680673,Niemela
883.318529675213,13769.741609011007,13085.95486798193,14263.560244914965,Niemela
895.5105206875937,14041.51152430553,13348.930990530915,14537.00060624364,Niemela
1090.282219760527,16025.48350708869,15095.54246820939,16646.731488587633,Niemela
