method,pi_group,variable,normalized_exponent
SI-DL 1D DE best,pi1,u,0.1431666226771743
SI-DL 1D DE best,pi1,rho,0.1431666226771743
SI-DL 1D DE best,pi1,D,1.0
SI-DL 1D DE best,pi1,k_s,-0.8568333773228257
SI-DL 1D DE best,pi1,mu,-0.1431666226771743
SI-DL 2D DE best,pi1,u,0.8957635599415407
SI-DL 2D DE best,pi1,rho,0.8957635599415407
SI-DL 2D DE best,pi1,D,1.0
SI-DL 2D DE best,pi1,k_s,-0.10423644005845939
SI-DL 2D DE best,pi1,mu,-0.8957635599415407
SI-DL 2D DE best,pi2,u,0.0032522599839447212
SI-DL 2D DE best,pi2,rho,0.0032522599839447212
SI-DL 2D DE best,pi2,D,1.0
SI-DL 2D DE best,pi2,k_s,-0.9967477400160553
SI-DL 2D DE best,pi2,mu,-0.0032522599839447212
Known Re,pi1,u,0.9999999999999999
Known Re,pi1,rho,0.9999999999999999
Known Re,pi1,D,1.0
Known Re,pi1,k_s,-1.18687833744435e-16
Known Re,pi1,mu,-0.9999999999999999
Known k_s/D,pi1,u,-5.93439168722175e-17
Known k_s/D,pi1,rho,-5.93439168722175e-17
Known k_s/D,pi1,D,0.9999999999999999
Known k_s/D,pi1,k_s,-1.0
Known k_s/D,pi1,mu,5.93439168722175e-17
"Known [Re, k_s/D]",pi1,u,0.9999999999999999
"Known [Re, k_s/D]",pi1,rho,0.9999999999999999
"Known [Re, k_s/D]",pi1,D,1.0
"Known [Re, k_s/D]",pi1,k_s,-1.18687833744435e-16
"Known [Re, k_s/D]",pi1,mu,-0.9999999999999999
"Known [Re, k_s/D]",pi2,u,-5.93439168722175e-17
"Known [Re, k_s/D]",pi2,rho,-5.93439168722175e-17
"Known [Re, k_s/D]",pi2,D,0.9999999999999999
"Known [Re, k_s/D]",pi2,k_s,-1.0
"Known [Re, k_s/D]",pi2,mu,5.93439168722175e-17
Previous SI-DL 2D,pi1,u,1.0
Previous SI-DL 2D,pi1,rho,1.0
Previous SI-DL 2D,pi1,D,0.2342372508629407
Previous SI-DL 2D,pi1,k_s,0.7657627491370593
Previous SI-DL 2D,pi1,mu,-1.0
Previous SI-DL 2D,pi2,u,0.6037203926408654
Previous SI-DL 2D,pi2,rho,0.6037203926408654
Previous SI-DL 2D,pi2,D,1.0
Previous SI-DL 2D,pi2,k_s,-0.39627960735913464
Previous SI-DL 2D,pi2,mu,-0.6037203926408654
