iteration,elapsed_seconds,objective_evaluations,best_S_cov
1,124.99857711791992,192,0.9954857934056687
2,187.49256491661072,288,0.9954857934056687
3,250.6822509765625,384,0.9954857934056687
4,314.4017279148102,480,0.9954857934056687
5,378.41732907295227,576,0.9954857934056687
6,441.7527370452881,672,0.9954857934056687
7,506.5380971431732,768,0.9954857934056687
8,572.0218851566315,864,0.9954857934056687
9,636.5153820514679,960,0.9954857934056687
10,701.5068130493164,1056,0.9954857934056687
11,770.4521350860596,1152,0.9954857934056687
12,839.2986650466919,1248,0.9954857934056687
13,907.3033001422882,1344,0.9954857934056687
14,973.1463611125946,1440,0.9954857934056687
