iteration,elapsed_seconds,objective_evaluations,best_S_cov
1,131.54988861083984,144,0.9979846079917227
2,197.14185285568237,216,0.9979846079917227
3,262.056129693985,288,0.9979846079917227
4,326.96179580688477,360,0.9979846079917227
5,393.1005256175995,432,0.9979846079917227
6,458.66869378089905,504,0.9979846079917227
7,521.9723436832428,576,0.9979846079917227
8,584.29971575737,648,0.9979846079917227
9,644.415121793747,720,0.9991182701346315
10,702.4041237831116,792,0.9991182701346315
11,761.5290567874908,864,0.9991182701346315
12,823.1714246273041,936,0.9991182701346315
13,883.9955587387085,1008,0.9991182701346315
14,944.8641557693481,1080,0.9991182701346315
15,1007.193306684494,1152,0.9991182701346315
16,1070.2941358089447,1224,0.9991182701346315
17,1133.762710571289,1296,0.9997777157535894
18,1197.100243806839,1368,1.0
19,1258.5345458984375,1440,1.0
20,1320.029943704605,1512,1.0
21,1382.1036636829376,1584,1.0
22,1445.8438799381256,1656,1.0
23,1506.6898367404938,1728,1.0
24,1565.007170677185,1800,1.0
25,1622.4536876678467,1872,1.0
26,1680.1684789657593,1944,1.0
27,1739.041331768036,2016,1.0
28,1796.400370836258,2088,1.0
29,1853.9315876960754,2160,1.0
30,1911.4406456947327,2232,1.0
31,1968.549694776535,2304,1.0
32,2027.3418338298798,2376,1.0
33,2086.065272808075,2448,1.0
34,2146.653783798218,2520,1.0
35,2209.4806678295135,2592,1.0
36,2271.979158639908,2664,1.0
37,2333.308128595352,2736,1.0
38,2397.118898868561,2808,1.0
39,2462.53617978096,2880,1.0
40,2527.3298597335815,2952,1.0
41,2591.955254793167,3024,1.0
42,2655.1605627536774,3096,1.0
43,2720.946683883667,3168,1.0
44,2786.114655971527,3240,1.0
45,2847.878415822983,3312,1.0
46,2913.3119926452637,3384,1.0
47,2979.9728016853333,3456,1.0
48,3042.2655267715454,3528,1.0
49,3103.88304066658,3600,1.0
50,3165.3001568317413,3672,1.0
