method,pi_group,variable,normalized_exponent
SI-DL 2D fine DE,pi1,r,0.023162903060488217
SI-DL 2D fine DE,pi1,q_1,0.062254433301652416
SI-DL 2D fine DE,pi1,I,-0.5428359366164495
SI-DL 2D fine DE,pi1,nu,0.5679627781472203
SI-DL 2D fine DE,pi1,K,-1.0
SI-DL 2D fine DE,pi1,g,-0.07341658612202981
SI-DL 2D fine DE,pi1,omega,0.5166159607951869
SI-DL 2D fine DE,pi1,a_1,-0.09906369108783379
SI-DL 2D fine DE,pi1,b_1,0.011682416255410577
SI-DL 2D fine DE,pi2,r,0.6001944576887847
SI-DL 2D fine DE,pi2,q_1,0.042493818811120715
SI-DL 2D fine DE,pi2,I,-0.5246433751757993
SI-DL 2D fine DE,pi2,nu,-0.05151360179095863
SI-DL 2D fine DE,pi2,K,-1.0
SI-DL 2D fine DE,pi2,g,0.5521194962447311
SI-DL 2D fine DE,pi2,omega,-0.09521920950962422
SI-DL 2D fine DE,pi2,a_1,0.5269716902131736
SI-DL 2D fine DE,pi2,b_1,0.006691467942463571
IT-PI continuous,pi1,r,-0.03
IT-PI continuous,pi1,q_1,0.0
IT-PI continuous,pi1,I,-0.5
IT-PI continuous,pi1,nu,0.54
IT-PI continuous,pi1,K,-1.0
IT-PI continuous,pi1,g,-0.05
IT-PI continuous,pi1,omega,0.55
IT-PI continuous,pi1,a_1,-0.04
IT-PI continuous,pi1,b_1,-0.0
IT-PI continuous,pi2,r,0.6
IT-PI continuous,pi2,q_1,0.0
IT-PI continuous,pi2,I,-0.5
IT-PI continuous,pi2,nu,-0.09
IT-PI continuous,pi2,K,-1.0
IT-PI continuous,pi2,g,0.58
IT-PI continuous,pi2,omega,-0.07
IT-PI continuous,pi2,a_1,0.58
IT-PI continuous,pi2,b_1,0.0
