repeat,random_state,noise_percent,method,theta,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score
0,42,0,MI-DL,0.7812732520596999,0.24868699994156307,0.0013130000584369306,0.005252000233747722,0.004456784070250196,2.026412697924976,
0,42,0,SI-DL,0.7851760332122146,0.2499292937660203,7.070623397970044e-05,0.00028282493591880176,0.005097818044713542,,0.9949021819552865
0,42,5,MI-DL,0.7806978403432305,0.2485038407035849,0.0014961592964151116,0.005984637185660446,0.011180824563032649,1.835783090176374,
0,42,5,SI-DL,0.7856693819571382,0.25008633154886584,8.633154886583672e-05,0.00034532619546334686,0.007969518401140352,,0.9920304815988596
0,42,10,MI-DL,0.7773623287944575,0.24744211440213026,0.0025578855978697357,0.010231542391478943,0.018172826163857594,1.6202364007449788,
0,42,10,SI-DL,0.7859023194291095,0.25016047784905693,0.00016047784905692808,0.0006419113962277123,0.01584188621604088,,0.9841581137839591
0,42,15,MI-DL,0.7751776875466174,0.24674672149517785,0.0032532785048221546,0.013013114019288619,0.032403308932685525,1.4338115416453325,
0,42,15,SI-DL,0.7858484330907748,0.2501433252948348,0.00014332529483479517,0.0005733011793391807,0.028529286582188007,,0.971470713417812
0,42,20,MI-DL,0.7804489181217299,0.24842460629959043,0.001575393700409572,0.006301574801638288,0.04879067415747117,1.2670909719887202,
0,42,20,SI-DL,0.7855010629872825,0.25003275395672847,3.27539567284707e-05,0.0001310158269138828,0.04570593365965803,,0.954294066340342
0,42,25,MI-DL,0.7782978720666894,0.2477399070746344,0.002260092925365609,0.009040371701462435,0.06670698123066154,1.1474336769357478,
0,42,25,SI-DL,0.7848657852001664,0.24983053875661645,0.00016946124338354518,0.0006778449735341807,0.06692819857018073,,0.9330718014298193
0,42,30,MI-DL,0.7745951199379649,0.2465612844659733,0.003438715534026693,0.013754862136106771,0.08558120471617156,1.0436151992171068,
0,42,30,SI-DL,0.7839626856481008,0.24954307324098585,0.00045692675901415347,0.0018277070360566139,0.09166402416755282,,0.9083359758324472
1,43,0,MI-DL,0.7868590380384788,0.2504650108407152,0.0004650108407152076,0.0018600433628608304,0.006023297650804302,2.025755740867816,
1,43,0,SI-DL,0.7857902711977012,0.25012481178927026,0.0001248117892702627,0.0004992471570810508,0.006673644740508022,,0.993326355259492
1,43,5,MI-DL,0.7904749432096648,0.2516159892042068,0.0016159892042068025,0.00646395681682721,0.011638280769615775,1.821609404543734,
