repeat,random_state,method,n_samples,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score,bandwidth
0,42,MI-DL,30,0.2319897271171274,0.018010272882872602,0.07204109153149041,0.28382046248796716,0.2601034346161697,,
0,42,SI-DL,30,0.22315282804923206,0.02684717195076794,0.10738868780307176,0.08364192899495881,,0.9163580710050412,0.09
0,42,MI-DL,40,0.25777715379405414,0.007777153794054137,0.031108615176216547,0.15865135621919735,0.30925804773507437,,
0,42,SI-DL,40,0.24132253071173612,0.008677469288263878,0.03470987715305551,0.01178776170582907,,0.9882122382941709,0.09
0,42,MI-DL,50,0.2222454542783397,0.027754545721660306,0.11101818288664123,0.11295880956112878,0.36329466824002665,,
0,42,SI-DL,50,0.25445895561090814,0.004458955610908144,0.017835822443632576,0.022774881765259325,,0.9772251182347407,0.09
0,42,MI-DL,60,0.26411863503588695,0.01411863503588695,0.0564745401435478,0.09703991456068013,0.523047730552471,,
0,42,SI-DL,60,0.25479828834576945,0.0047982883457694525,0.01919315338307781,0.012456847436478347,,0.9875431525635217,0.09
0,42,MI-DL,75,0.2584580791620505,0.008458079162050491,0.033832316648201965,0.07846122679161972,0.5886133549305894,,
0,42,SI-DL,75,0.25025035930926665,0.0002503593092666456,0.0010014372370665825,0.007467062407656266,,0.9925329375923437,0.09
0,42,MI-DL,100,0.26397866130206266,0.013978661302062656,0.055914645208250624,0.07176187646507351,0.7608175657240865,,
0,42,SI-DL,100,0.25007396346974803,7.396346974802848e-05,0.0002958538789921139,0.01627354323015806,,0.9837264567698419,0.09
0,42,MI-DL,130,0.24657953412399003,0.0034204658760099704,0.013681863504039882,0.06625203663070908,0.911127947034803,,
0,42,SI-DL,130,0.2469238577021671,0.003076142297832901,0.012304569191331605,0.012052616912187841,,0.9879473830878122,0.08
0,42,MI-DL,160,0.2552715818802564,0.005271581880256393,0.021086327521025572,0.04805669062227422,1.0288562390204312,,
0,42,SI-DL,160,0.25055188205223017,0.0005518820522301682,0.0022075282089206727,0.012461688097818668,,0.9875383119021813,0.0775
0,42,MI-DL,200,0.2497958375000462,0.0002041624999538083,0.0008166499998152332,0.04410244041747456,1.086356679962707,,
0,42,SI-DL,200,0.24995523266661449,4.476733338551475e-05,0.000179069333542059,0.020729662693391715,,0.9792703373066083,0.065
0,42,MI-DL,300,0.252530530574634,0.0025305305746339823,0.01012212229853593,0.025804681504293242,1.3617373772163868,,
0,42,SI-DL,300,0.2508882970663081,0.000888297066308108,0.003553188265232432,0.015277460068465976,,0.984722539931534,0.07
0,42,MI-DL,400,0.2538824896568101,0.0038824896568100953,0.015529958627240381,0.02212720740253021,1.5095738161288175,,
0,42,SI-DL,400,0.25175934391386806,0.001759343913868061,0.007037375655472244,0.013894371576965048,,0.986105628423035,0.057499999999999996
0,42,MI-DL,500,0.2536331074772464,0.003633107477246378,0.014532429908985511,0.016632283397847034,1.652550357994797,,
0,42,SI-DL,500,0.2508730244273938,0.000873024427393787,0.003492097709575148,0.01295359309135824,,0.9870464069086418,0.055
0,42,MI-DL,650,0.2514649658964863,0.0014649658964863144,0.0058598635859452575,0.014453141653728928,1.7396730374924116,,
0,42,SI-DL,650,0.2512114240809114,0.0012114240809114052,0.004845696323645621,0.014515461935971419,,0.9854845380640286,0.052500000000000005
0,42,MI-DL,800,0.25024500726483045,0.00024500726483045465,0.0009800290593218186,0.014317190277772346,1.7919227979719317,,
0,42,SI-DL,800,0.25080235228038866,0.0008023522803886629,0.0032094091215546516,0.0164600721386845,,0.9835399278613155,0.055
0,42,MI-DL,1000,0.25125382460873696,0.0012538246087369642,0.005015298434947857,0.01250553003497707,1.8365727445895743,,
0,42,SI-DL,1000,0.25075717192359276,0.0007571719235927588,0.003028687694371035,0.015045178483098942,,0.9849548215169011,0.05
1,43,MI-DL,30,0.20627925179795614,0.04372074820204386,0.17488299280817543,0.7911521940191052,0.17575203766274683,,
1,43,SI-DL,30,0.25233951230948565,0.0023395123094856474,0.00935804923794259,0.08139857574136655,,0.9186014242586334,0.09
1,43,MI-DL,40,0.29055376219342766,0.040553762193427656,0.16221504877371062,0.7975148263061747,0.19403090782744137,,
1,43,SI-DL,40,0.261018583958855,0.011018583958855022,0.044074335835420086,0.030410489354336212,,0.9695895106456638,0.09
1,43,MI-DL,50,0.2671278054858886,0.017127805485888603,0.06851122194355441,0.2868805133894478,0.34029091110287624,,
1,43,SI-DL,50,0.2606744373452029,0.010674437345202903,0.04269774938081161,0.021224968815732104,,0.9787750311842679,0.09
1,43,MI-DL,60,0.2931087174783656,0.04310871747836559,0.17243486991346235,0.19354051488115284,0.47796329893411826,,
1,43,SI-DL,60,0.25578449268691905,0.005784492686919052,0.023137970747676206,0.021268914900106184,,0.9787310850998938,0.09
1,43,MI-DL,75,0.2561673537184509,0.006167353718450896,0.024669414873803586,0.19718218022702597,0.5310557104160427,,
1,43,SI-DL,75,0.25865026823996484,0.008650268239964842,0.03460107295985937,0.01996373852333222,,0.9800362614766678,0.09
1,43,MI-DL,100,0.2540301087306042,0.0040301087306042205,0.016120434922416882,0.11258661368722933,0.748107365315068,,
1,43,SI-DL,100,0.25070872110180353,0.0007087211018035333,0.0028348844072141333,0.01818045287104808,,0.9818195471289519,0.09
1,43,MI-DL,130,0.25074199583542384,0.0007419958354238365,0.002967983341695346,0.08386681936816213,0.9109003417961201,,
