method,n_samples,n_repeats,error_q25,error_median,error_q75,objective_median,theta_median
MI-DL,30,60,0.16918556618575495,0.3738010124418796,1.8683599587543316,0.8238347889116268,0.27719516736410776
SI-DL,30,60,0.014197366909262321,0.04093987416340761,0.08055290438746399,0.051477601603399814,0.2488467841181089
MI-DL,40,60,0.08189635693606245,0.1459480244708593,0.26689573383334647,0.4767014221712797,0.2669430487312398
SI-DL,40,60,0.011741566875708237,0.026846093302137164,0.05300870217220899,0.035690185835962396,0.24906574872522608
MI-DL,50,60,0.038902464721926544,0.06316919730066345,0.1267700903198798,0.3398135462049529,0.2506674969560502
SI-DL,50,60,0.013066708328220905,0.022958648446605,0.03944477462184759,0.03144537679129078,0.2475801033640917
MI-DL,60,60,0.029819606398263365,0.055336106848523636,0.08833268421148666,0.24736902180841863,0.25002378832892136
SI-DL,60,60,0.007838459781298157,0.01869981199194981,0.030715966436817926,0.0262761529544418,0.2497016466382112
MI-DL,75,60,0.02244257891839535,0.042480014114614884,0.06943406200212532,0.17666030114363857,0.25270955746700013
SI-DL,75,60,0.004967605542525455,0.013510972315929681,0.020849336504671218,0.0291734119614519,0.24979286146278457
MI-DL,100,60,0.015196709082242743,0.027828811976879086,0.04367068051692935,0.12093469608496156,0.24744313563412357
SI-DL,100,60,0.003485008864280714,0.008325104205099576,0.012742775006045426,0.026145782954209773,0.25044012284318473
MI-DL,130,60,0.01158468854050021,0.019362196335186432,0.03464575701597067,0.08305145695099543,0.24821790285771556
SI-DL,130,60,0.0032850117503010756,0.007255466657923926,0.011922127394930454,0.022083635560905923,0.25011719574017904
MI-DL,160,60,0.007561817869676496,0.01981564874778846,0.030287231457207242,0.062142424550684576,0.24883478854867763
SI-DL,160,60,0.004644636605595193,0.007423825386853933,0.01152141529027631,0.021266598221861277,0.25027084878616557
MI-DL,200,60,0.006145014620974637,0.013702257653499639,0.01858599955393614,0.048125957124413574,0.25009849827164143
SI-DL,200,60,0.002193203061706922,0.004127298185276684,0.008422352604225358,0.016993240421860456,0.2501025426408423
MI-DL,300,60,0.004598659945220296,0.010340263012850848,0.015339710773057874,0.031082949431391955,0.24900393462374112
SI-DL,300,60,0.0021625782005154637,0.0036894621800653837,0.006258421409149895,0.018673040745221303,0.2499885475350644
MI-DL,400,60,0.0036684193536162812,0.007143853184852611,0.011354909416105563,0.024158185563703194,0.2493012259656408
SI-DL,400,60,0.0022805967915653647,0.0038521402153764983,0.006389745870034935,0.0159578770854783,0.24962987700115813
MI-DL,500,60,0.0025753698672742464,0.006133314357467778,0.008952289968644389,0.019673445248220615,0.24978748158350841
SI-DL,500,60,0.0013697608251644622,0.002754191617016233,0.005052208923720464,0.015380385087328807,0.2498112458827475
MI-DL,650,60,0.0022256945815741502,0.005836667945128493,0.009343841122605362,0.016536138630363892,0.24992247802715728
SI-DL,650,60,0.0014750361869152462,0.0025498371127843367,0.004524930460453713,0.015123785881847318,0.2500800949277034
MI-DL,800,60,0.002105318609291973,0.003984983759693417,0.007115568719980425,0.014350703810161338,0.2499938696260558
SI-DL,800,60,0.0007721134819467235,0.00185716254075724,0.003171600678880615,0.015617487995432278,0.2500648661968609
MI-DL,1000,60,0.0014463127958253275,0.0029754545451128322,0.005233144015489716,0.012804794277096881,0.24968722200054183
SI-DL,1000,60,0.0008257678256385348,0.0017373144695616016,0.0032356261186308466,0.014555984084886897,0.24998932676027885
